number,jp,cn,kr,en
182,優しい、優しい顔だった。,那是无比温柔的微笑。,부드럽고 상냥한 얼굴이었다.,
183,どうして笑っている、なんでぼくに微笑む。,她为什么会笑，为什么要对我微笑？,어째서 웃는 거야. 왜 날 보고 웃는 거야.,
184,痛いのに、熱いのに寒いのに辛いのに！,明明这么疼，这么热这么冷这么痛苦！,"아플 텐데, 뜨거울 텐데. 춥고 괴로울 텐데!",
185,「っっ！！」,‘！！’,「으윽!!」,
186,少し身体を動かすだけで激痛が走る。,稍微一动便会剧痛不已。,몸을 조금 움직였을 뿐인데 격렬한 통증이 발생한다.,
187,呻き声をあげることでさえ痛みを伴う。,就连呻吟都会伴随着疼痛。,신음을 흘리는 일조차 고통을 동반한다.,
188,『……ともき、くん』,‘……智纪。’,『……토모키.』,
189,『……っ！？』,‘……？！’,『……응!?』,
190,彼女に名前を呼ばれる。,她叫出了我的名字。,그녀가 내 이름을 불렀다.,
191,いつもの彼女の声。,声音与平时别无二致。,평소와 같은 목소리다.,
192,……なに？,……怎么了？,……왜 그래?,
193,ぼくはそう答えようにも声がでなかった。,我想要回答，却发不出声音。,나는 그렇게 대답하려고 했지만 목소리가 나오지 않았다.,
194,けれど彼女は微笑む。,但她依然在微笑。,하지만 그녀는 미소 짓는다.,
195,彼女の目は、開いていないのに、ぼくがここにいるということは分かっているように、優しい顔をする。,她表情柔和，没有睁眼却仿佛知道我就在这里。,그녀는 눈을 뜨지 못했지만 내가 여기에 있다는 것을 아는 것처럼 표정을 누그러뜨렸다.,
196,『わたし……ね、いま……宇宙に、いるかもしれない』,“我……现在……或许在宇宙里呢。”,"『나…… 있지, 지금……. 우주에, 있는 것 같아.』",
197,宇宙に、いる？,在宇宙里？,우주에 있다고?,
198,そんな感覚、ぼくにはない。,我没有这种感觉。,"그런 느낌, 나는 느끼지 못한다.",
199,こんな痛くて熱くて寒くて辛い場所が、宇宙のはずなんかじゃない。,这样又疼又热又冷又痛苦的地方，不可能会是宇宙。,우주가 이렇게 아프고 뜨겁고 춥고 괴로울 리가 없다.,
200,宇宙はぼくらの夢の場所で、憧れの場所で、ぼくと彼女の好きな場所だから……。,宇宙是我梦寐以求的地方，是我们心中的向往。,"우주는 우리가 꿈꾸는 곳이자 동경하는 곳이며, 나와 그녀가 사랑하는 곳이니까…….",
201,『見渡す限り……ね、まっくら。身体も、なんだか、浮いていそう……』,“放眼望去……都是一片漆黑。身体也好像在飘……”,"『주위를 둘러봐도…… 응, 새카매. 몸도, 뭐랄까, 떠 있는 것 같아…….』",
202,やばい――。,糟糕——,큰일이야――,
203,ぼくは初めて、目の前で人が死ぬとはこういうことだと悟った。,我第一次意识到他人死在眼前是怎样一回事。,나는 사람이 죽는다는 것이 무엇인지 처음으로 생생히 보았다.,
204,思考が、全身の筋肉が、時間が……止まった。,我的思维、我的身体、意识中的时间……都陷入了停滞。,"생각이, 온몸의 근육이, 시간이…… 멈춘다.",
205,思考のもう一つ先の領域で、もう彼女と宇宙の話をすることはない、展望台に行くことはない、遠花火を見ることはない。,我的本能告诉我，我再也没有机会跟她一起畅聊宇宙，一起登上瞭望台，一起看空焰火。,더 이상 그녀와 우주 이야기를 나눌 수 없다. 전망대에 갈 수 없다. 별꽃을 볼 수 없다.,
206,そんなことを、ぜんぶぜんぶ知ってしまった。,我全都一清二楚。,그 사실들을 모두 깨닫고 말았다.,
207,冥々とした視界と朦朧とした視界の中でぼくは、彼女に手を伸ばした。,眼前一片幽暗朦胧，而我向她伸出了手。,어둡고 몽롱한 시야 속에서 나는 그녀에게 손을 뻗었다.,
208,『○○くんにも……みせてあげたかったな、宇宙』,‘真想让○○也看看啊……宇宙。’,"『토모키한테도…… 보여 주고 싶었어, 우주.』",
209,彼女が口を開く。,她如此对我说道。,그녀가 입을 연다.,
210,ぼくは彼女の手を握ろうとする。,我想要握住她的手。,나는 그녀의 손을 잡으려 했다.,
211,でも――,然而——,하지만――,
212,『いつか……またいっしょに、とおはなび……見れるといいね』,‘希望……以后还能一起看……空焰火。’,"『언젠가…… 다시 함께, 별꽃…… 볼 수 있었으면 좋겠다.』",
213,そう言って、彼女の細かった息が、プチンと切れた。,气若游丝的她停止了呼吸。,"그 말을 마지막으로, 그녀의 가느다란 숨소리가 툭 끊어졌다.",
214,『え……？』,‘咦……？’,『어……?』,
215,世界が壊れた。,世界分崩离析。,세상이 무너진다.,
216,視界が真っ黒のような真っ白のような色で染め上げられた。,眼前被染上一片漆黑，又似是一片纯白。,"시야가 까만색으로, 그리고 또 하얀색으로 물든다.",
217,視界のずっとずっと奥、宇宙よりも遠い場所で、彼女が眠っている。,在这视野的最深处，她正沉睡在比宇宙还要遥远的地方。,오감을 뛰어넘은 곳으로. 우주보다 머나먼 곳으로. 그녀가 잠들었다.,
218,うわわわわわああああああああああ！！！,呃啊啊啊啊啊啊啊啊啊啊啊啊！！！,아아아아아아아아아아아아!!!,
219,ぼくは声もあげず叫んだ。,我发出无声的吼叫。,나는 소리 없이 절규했다.,
220,何もかもを忘れるように叫んだ。,一切都被我抛诸脑后。,모든 것을 잊기 위해 소리쳤다.,
221,そこから先は、あまり覚えていない。,后来的事情，我已经记不太清楚。,그 뒤에 어떻게 됐는지는 잘 기억나지 않는다.,
222,ただ知っていることは、あの日土砂崩れがあって、巻き込まれたこと、ぼくは助かって、彼女と彼女の両親は助からなかったこと。,我只知道那天发生了塌方，我从事故中获救，而她与她的父母永远陷入了沉眠。,"단지 내가 아는 것은 그날 산사태가 있었고 거기에 휘말렸다는 것. 나는 살았지만, 그녀와 그녀의 부모님은 살아나지 못했다는 것.",
223,ただ――それだけ。,仅此而已。,단지―― 그것뿐.,
224,「……はぁ」,“……哎。”,「……하아.」,
225,朝陽がのぼってきた。,朝阳升起。,아침 해가 떠오른다.,
226,眩しさに思わず目を細める。,刺眼的阳光让我忍不住眯起眼睛。,눈이 부셔 나도 모르게 인상을 찡그렸다.,
227,なんで、こんなこと思い出してしまったんだろう。,为什么会回忆起这种事情呢。,왜 이런 것을 떠올렸을까.,
228,思い出すと辛くなるだけだから、思い出さないようにしていたのに。,这些回忆只会让我感到心痛，所以我一直尽力不去回想。,떠올려도 괴롭기만 할 뿐이라 떠올리지 않으려 했는데.,
229,ぼくは彼女のいない世界を、なんとかこうして生きていけるようになったのに。,我竭尽全力才在没有她的世界生活至今。,그녀가 없는 세상에서도 어떻게든 잘 살아갈 수 있게 되었는데.,
230,ユエナがきたとき、宇宙人がきたと分かったとき,当由依奈来到地球，当我得知外星人来到地球的时候——,유에나가 왔을 때. 외계인이 왔다는 것을 알게 되었을 때.,
231,ぼくは、彼女がきたのだと思った。,我以为是她来了。,나는 그녀가 온 것이라고 생각했다.,
232,あの日宇宙に行ってしまった彼女が、やっとぼくのもとに来てくれたのだと思った。,我以为是那天去往宇宙的她，终于又回到了我的身边。,"그날 우주로 떠나버린 그녀가, 드디어 내 곁으로 와 준 것이라 생각했다.",
233,でも、ユエナはユエナだ。,但由依奈就是由依奈。,하지만 유에나는 유에나다.,
234,そういうぼくの想像や希望や願いの化身ではなく、紛れもない本物の宇宙人。,她并非来源于我的想象、希望或是愿望，而是如假包换的外星人。,"나만의 상상이나 희망이나 소원을 실체화한 것이 아닌, 틀림없는 진짜 외계인.",
235,「宇宙人、かあ」,“外星人啊……”,「외계인이라.」,
236,ユエナがきてからの毎日は楽しい。,由依奈来了以后，每天都是欢声笑语。,유에나가 온 뒤로 매일이 즐겁다.,
237,空を飛ぶユエナのおかげで、ぼくはよく空を見上げられるようになった。,多亏了飞在空中的由依奈，我又变得时常会仰望天空。,하늘을 나는 유에나 덕분에 나는 하늘을 자주 올려다보게 되었다.,
238,「いや、それも違うかな」,“不，倒也不是。”,"「아니, 그것도 아닌가.」",
239,違う。あの日以降も、ぼくは空を見上げている。,不是的，那天之后的我同样会仰望天空。,아니다. 그날 이후로도 나는 하늘을 올려다보았다.,
240,でもそれは、空にいるかもしれない彼女を探していたんだ。だけど――,但那是因为我想在天空中寻觅到她的身影。可是——,하늘에 있을지도 모를 그녀를 찾던 것이었다. 하지만――,
241,今は純粋に、空の向こうに何があるか、この空の上で何ができるだろうか、そんなことを探している。,如今我只是单纯在寻找天空的彼岸有着什么，以及在这片天空上能做些什么。,"지금은 순수하게 하늘 너머에 무엇이 있을까, 이 하늘 위에서 무엇을 할 수 있을까, 그런 것들을 생각한다.",
